"Route/path","Page/API","Public/authenticated/admin","File path","Purpose","Data used","Auth required","Risk","Notes"
"/api/trpc/reports.delete","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:delete"")"
"/api/trpc/reports.archive","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:archive"")"
"/api/trpc/reports.cancel","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:cancel"")"
"/api/trpc/reports.lock","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:archive"")"
"/api/trpc/reports.duplicate","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:create"")"
"/api/trpc/reports.saveDepartment","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.saveItem","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.reorderItems","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.deleteItem","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.seedBaseline","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.refreshSummary","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.uploadPdf","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""export:create"")"
"/api/trpc/reports.markGenerated","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""export:create"")"
"/api/trpc/reports.getSheetConfig","tRPC API","authenticated","server/routers/reports.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/reports.saveSheetConfig","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.syncFromSheet","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/admin.dashboard","tRPC API","authenticated","server/routers/admin.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/admin.users","tRPC API","permission-gated","server/routers/admin.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""user:manage"")"
"/api/trpc/admin.createUser","tRPC API","permission-gated","server/routers/admin.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""user:manage"")"
"/api/trpc/admin.updateUser","tRPC API","permission-gated","server/routers/admin.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""user:manage"")"
"/api/trpc/admin.settings","tRPC API","authenticated","server/routers/admin.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/admin.updateSettings","tRPC API","permission-gated","server/routers/admin.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""settings:manage"")"
"/api/trpc/admin.auditLog","tRPC API","permission-gated","server/routers/admin.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""audit:view"")"
"/api/trpc/systemRouter.health","tRPC API","public","server/_core/systemRouter.ts","query procedure","MySQL/in-memory domain data","No","Medium","publicProcedure"
